"ccode1","ccode2","year","DR_at_1","DR_at_2","DE","version"
2,20,1920,0,0,0,2006.0999755859375
2,20,1925,0,0,0,2006.0999755859375
2,20,1930,0,2,1,2006.0999755859375
2,20,1935,2,2,1,2006.0999755859375
2,20,1940,2,2,1,2006.0999755859375
2,20,1950,9,9,1,2006.0999755859375
2,20,1955,9,9,1,2006.0999755859375
2,20,1960,9,9,1,2006.0999755859375
2,20,1965,9,9,1,2006.0999755859375
2,20,1970,3,3,1,2006.0999755859375
2,20,1975,3,3,1,2006.0999755859375
2,20,1980,3,3,1,2006.0999755859375
2,20,1985,3,3,1,2006.0999755859375
2,20,1990,3,3,1,2006.0999755859375
2,20,1995,3,3,1,2006.0999755859375
2,20,2000,3,3,1,2006.0999755859375
2,20,2005,3,3,1,2006.0999755859375
2,31,1975,3,3,1,2006.0999755859375
2,31,1980,3,3,1,2006.0999755859375
2,31,1985,1,3,1,2006.0999755859375
2,31,1990,3,3,1,2006.0999755859375
2,31,1995,3,3,1,2006.0999755859375
2,31,2000,1,3,1,2006.0999755859375
2,31,2005,3,3,1,2006.0999755859375
2,40,1904,9,9,0,2006.0999755859375
2,40,1909,9,9,0,2006.0999755859375
2,40,1914,9,9,0,2006.0999755859375
2,40,1920,9,9,0,2006.0999755859375
2,40,1925,9,9,0,2006.0999755859375
2,40,1930,9,9,0,2006.0999755859375
2,40,1935,3,3,1,2006.0999755859375
2,40,1940,3,3,1,2006.0999755859375
2,40,1950,9,9,1,2006.0999755859375
2,40,1955,9,9,1,2006.0999755859375
2,40,1960,9,9,1,2006.0999755859375
2,40,1965,0,0,0,2006.0999755859375
2,40,1970,0,0,0,2006.0999755859375
2,40,1975,0,0,0,2006.0999755859375
2,40,1980,9,9,0,2006.0999755859375
2,40,1985,9,9,0,2006.0999755859375
2,40,1990,9,9,0,2006.0999755859375
2,40,1995,9,9,0,2006.0999755859375
2,40,2000,9,9,0,2006.0999755859375
2,40,2005,9,9,0,2006.0999755859375
2,41,1859,0,0,0,2006.0999755859375
2,41,1864,1,1,1,2006.0999755859375
2,41,1869,1,2,1,2006.0999755859375
2,41,1874,1,2,1,2006.0999755859375
2,41,1879,2,2,1,2006.0999755859375
2,41,1884,0,2,1,2006.0999755859375
2,41,1889,2,2,1,2006.0999755859375
2,41,1894,2,2,1,2006.0999755859375
2,41,1899,2,2,1,2006.0999755859375
2,41,1904,2,2,1,2006.0999755859375
2,41,1909,2,2,1,2006.0999755859375
2,41,1914,2,2,1,2006.0999755859375
2,41,1935,2,2,1,2006.0999755859375
2,41,1940,2,2,1,2006.0999755859375
2,41,1950,9,9,1,2006.0999755859375
2,41,1955,9,9,1,2006.0999755859375
2,41,1960,9,9,1,2006.0999755859375
2,41,1965,9,9,1,2006.0999755859375
2,41,1970,3,0,1,2006.0999755859375
2,41,1975,3,3,1,2006.0999755859375
2,41,1980,3,3,1,2006.0999755859375
2,41,1985,3,3,1,2006.0999755859375
2,41,1990,1,3,1,2006.0999755859375
2,41,1995,3,3,1,2006.0999755859375
2,41,2000,1,3,1,2006.0999755859375
2,41,2005,3,3,1,2006.0999755859375
2,42,1894,0,1,1,2006.0999755859375
2,42,1899,0,1,1,2006.0999755859375
2,42,1904,1,1,1,2006.0999755859375
2,42,1909,2,2,1,2006.0999755859375
2,42,1914,2,2,1,2006.0999755859375
2,42,1925,2,2,1,2006.0999755859375
2,42,1930,2,2,1,2006.0999755859375
2,42,1935,2,2,1,2006.0999755859375
2,42,1940,2,2,1,2006.0999755859375
2,42,1950,9,9,1,2006.0999755859375
2,42,1955,9,9,1,2006.0999755859375
2,42,1960,9,9,1,2006.0999755859375
2,42,1965,9,9,1,2006.0999755859375
2,42,1970,3,3,1,2006.0999755859375
2,42,1975,3,3,1,2006.0999755859375
2,42,1980,3,3,1,2006.0999755859375
2,42,1985,3,0,1,2006.0999755859375
2,42,1990,3,3,1,2006.0999755859375
2,42,1995,3,3,1,2006.0999755859375
2,42,2000,3,3,1,2006.0999755859375
2,42,2005,3,3,1,2006.0999755859375
2,51,1965,9,9,1,2006.0999755859375
2,51,1970,3,3,1,2006.0999755859375
2,51,1975,3,3,1,2006.0999755859375
2,51,1980,1,3,1,2006.0999755859375
2,51,1985,3,3,1,2006.0999755859375
2,51,1990,3,3,1,2006.0999755859375
2,51,1995,3,3,1,2006.0999755859375
2,51,2000,3,3,1,2006.0999755859375
2,51,2005,3,3,1,2006.0999755859375
2,52,1965,9,9,1,2006.0999755859375
2,52,1970,3,3,1,2006.0999755859375
2,52,1975,3,1,1,2006.0999755859375
2,52,1980,3,3,1,2006.0999755859375
2,52,1985,3,3,1,2006.0999755859375
2,52,1990,3,3,1,2006.0999755859375
2,52,1995,3,3,1,2006.0999755859375
2,52,2000,3,3,1,2006.0999755859375
2,52,2005,3,3,1,2006.0999755859375
2,53,1970,3,3,1,2006.0999755859375
2,53,1975,3,3,1,2006.0999755859375
2,53,1980,3,3,1,2006.0999755859375
2,53,1985,3,3,1,2006.0999755859375
2,53,1990,3,3,1,2006.0999755859375
2,53,1995,3,3,1,2006.0999755859375
2,53,2000,3,3,1,2006.0999755859375
2,53,2005,3,3,1,2006.0999755859375
2,54,1980,0,3,1,2006.0999755859375
2,54,1985,9,0,0,2006.0999755859375
2,54,1990,0,0,0,2006.0999755859375
2,54,1995,0,0,0,2006.0999755859375
2,54,2000,3,0,1,2006.0999755859375
2,54,2005,3,0,1,2006.0999755859375
2,55,1975,3,0,1,2006.0999755859375
2,55,1980,3,3,1,2006.0999755859375
2,55,1985,3,1,1,2006.0999755859375
2,55,1990,3,3,1,2006.0999755859375
2,55,1995,3,0,1,2006.0999755859375
2,55,2000,3,3,1,2006.0999755859375
2,55,2005,3,3,1,2006.0999755859375
2,56,1980,3,3,1,2006.0999755859375
2,56,1985,3,0,1,2006.0999755859375
2,56,1990,3,0,1,2006.0999755859375
2,56,1995,3,0,1,2006.0999755859375
2,56,2000,3,0,1,2006.0999755859375
2,56,2005,3,0,1,2006.0999755859375
2,57,1980,0,0,0,2006.0999755859375
2,57,1985,0,0,0,2006.0999755859375
2,57,1990,0,0,0,2006.0999755859375
2,57,1995,3,0,1,2006.0999755859375
2,57,2000,3,0,1,2006.0999755859375
2,57,2005,3,0,1,2006.0999755859375
2,58,1985,3,9,1,2006.0999755859375
2,58,1990,3,1,1,2006.0999755859375
2,58,1995,3,0,1,2006.0999755859375
2,58,2000,3,0,1,2006.0999755859375
2,58,2005,3,0,1,2006.0999755859375
2,60,1985,3,0,1,2006.0999755859375
2,60,1990,1,0,1,2006.0999755859375
2,60,1995,3,0,1,2006.0999755859375
2,60,2000,3,0,1,2006.0999755859375
2,60,2005,3,0,1,2006.0999755859375
2,70,1832,9,9,0,2006.0999755859375
2,70,1836,1,0,1,2006.0999755859375
2,70,1840,2,2,1,2006.0999755859375
2,70,1844,2,2,1,2006.0999755859375
2,70,1849,2,1,1,2006.0999755859375
2,70,1854,2,2,1,2006.0999755859375
2,70,1859,2,2,1,2006.0999755859375
2,70,1864,1,2,1,2006.0999755859375
2,70,1869,2,2,1,2006.0999755859375
2,70,1874,2,2,1,2006.0999755859375
2,70,1879,2,2,1,2006.0999755859375
2,70,1884,2,2,1,2006.0999755859375
2,70,1889,2,2,1,2006.0999755859375
2,70,1894,2,0,1,2006.0999755859375
2,70,1899,2,2,1,2006.0999755859375
2,70,1904,3,3,1,2006.0999755859375
2,70,1909,3,2,1,2006.0999755859375
2,70,1914,3,3,1,2006.0999755859375
2,70,1920,3,3,1,2006.0999755859375
2,70,1925,3,3,1,2006.0999755859375
2,70,1930,2,3,1,2006.0999755859375
2,70,1935,3,3,1,2006.0999755859375
2,70,1940,3,3,1,2006.0999755859375
2,70,1950,9,9,1,2006.0999755859375
2,70,1955,9,9,1,2006.0999755859375
2,70,1960,9,9,1,2006.0999755859375
2,70,1965,9,9,1,2006.0999755859375
2,70,1970,3,3,1,2006.0999755859375
2,70,1975,3,3,1,2006.0999755859375
2,70,1980,3,3,1,2006.0999755859375
2,70,1985,3,3,1,2006.0999755859375
2,70,1990,3,3,1,2006.0999755859375
2,70,1995,3,3,1,2006.0999755859375
2,70,2000,3,3,1,2006.0999755859375
2,70,2005,3,3,1,2006.0999755859375
2,80,1985,3,1,1,2006.0999755859375
2,80,1990,3,3,1,2006.0999755859375
2,80,1995,3,3,1,2006.0999755859375
2,80,2000,3,3,1,2006.0999755859375
2,80,2005,3,3,1,2006.0999755859375
2,90,1869,2,2,1,2006.0999755859375
2,90,1874,2,2,1,2006.0999755859375
2,90,1879,2,2,1,2006.0999755859375
2,90,1884,2,2,1,2006.0999755859375
2,90,1889,2,2,1,2006.0999755859375
2,90,1894,2,2,1,2006.0999755859375
2,90,1899,2,2,1,2006.0999755859375
2,90,1904,2,2,1,2006.0999755859375
2,90,1909,2,2,1,2006.0999755859375
2,90,1914,2,2,1,2006.0999755859375
2,90,1920,2,2,1,2006.0999755859375
2,90,1925,2,2,1,2006.0999755859375
2,90,1930,2,2,1,2006.0999755859375
2,90,1935,2,2,1,2006.0999755859375
2,90,1940,2,2,1,2006.0999755859375
2,90,1950,9,9,1,2006.0999755859375
2,90,1955,9,9,1,2006.0999755859375
2,90,1960,9,9,1,2006.0999755859375
2,90,1965,9,9,1,2006.0999755859375
2,90,1970,3,3,1,2006.0999755859375
2,90,1975,3,3,1,2006.0999755859375
2,90,1980,3,3,1,2006.0999755859375
2,90,1985,3,3,1,2006.0999755859375
2,90,1990,3,3,1,2006.0999755859375
2,90,1995,3,3,1,2006.0999755859375
2,90,2000,3,3,1,2006.0999755859375
2,90,2005,3,3,1,2006.0999755859375
2,91,1899,0,2,1,2006.0999755859375
2,91,1904,0,2,1,2006.0999755859375
2,91,1909,2,2,1,2006.0999755859375
2,91,1914,2,2,1,2006.0999755859375
2,91,1920,2,2,1,2006.0999755859375
2,91,1925,2,2,1,2006.0999755859375
2,91,1930,2,2,1,2006.0999755859375
2,91,1935,2,2,1,2006.0999755859375
2,91,1940,2,2,1,2006.0999755859375
2,91,1950,9,9,1,2006.0999755859375
2,91,1955,9,9,1,2006.0999755859375
2,91,1960,9,9,1,2006.0999755859375
2,91,1965,9,9,1,2006.0999755859375
2,91,1970,1,3,1,2006.0999755859375
2,91,1975,3,3,1,2006.0999755859375
2,91,1980,3,3,1,2006.0999755859375
2,91,1985,3,3,1,2006.0999755859375
2,91,1990,3,3,1,2006.0999755859375
2,91,1995,3,3,1,2006.0999755859375
2,91,2000,3,3,1,2006.0999755859375
2,91,2005,3,3,1,2006.0999755859375
2,92,1879,2,2,1,2006.0999755859375
2,92,1884,0,0,0,2006.0999755859375
2,92,1889,2,0,1,2006.0999755859375
2,92,1894,2,2,1,2006.0999755859375
2,92,1899,0,2,1,2006.0999755859375
2,92,1904,2,2,1,2006.0999755859375
2,92,1909,2,2,1,2006.0999755859375
2,92,1914,2,2,1,2006.0999755859375
2,92,1920,2,2,1,2006.0999755859375
2,92,1925,2,2,1,2006.0999755859375
2,92,1930,2,2,1,2006.0999755859375
2,92,1935,1,2,1,2006.0999755859375
2,92,1940,2,2,1,2006.0999755859375
2,92,1950,9,9,1,2006.0999755859375
2,92,1955,9,9,1,2006.0999755859375
2,92,1960,9,9,1,2006.0999755859375
2,92,1965,9,9,1,2006.0999755859375
2,92,1970,3,3,1,2006.0999755859375
2,92,1975,3,3,1,2006.0999755859375
2,92,1980,3,3,1,2006.0999755859375
2,92,1985,3,3,1,2006.0999755859375
2,92,1990,3,3,1,2006.0999755859375
2,92,1995,3,3,1,2006.0999755859375
2,92,2000,3,3,1,2006.0999755859375
2,92,2005,3,3,1,2006.0999755859375
2,93,1904,2,2,1,2006.0999755859375
2,93,1909,2,2,1,2006.0999755859375
2,93,1914,2,2,1,2006.0999755859375
2,93,1920,2,0,1,2006.0999755859375
2,93,1925,2,2,1,2006.0999755859375
2,93,1930,2,2,1,2006.0999755859375
2,93,1935,1,2,1,2006.0999755859375
2,93,1940,2,2,1,2006.0999755859375
2,93,1950,9,9,1,2006.0999755859375
2,93,1955,9,9,1,2006.0999755859375
2,93,1960,9,9,1,2006.0999755859375
2,93,1965,9,9,1,2006.0999755859375
2,93,1970,0,3,1,2006.0999755859375
2,93,1975,3,3,1,2006.0999755859375
2,93,1980,3,3,1,2006.0999755859375
2,93,1985,3,3,1,2006.0999755859375
2,93,1990,3,3,1,2006.0999755859375
2,93,1995,3,3,1,2006.0999755859375
2,93,2000,3,3,1,2006.0999755859375
2,93,2005,3,1,1,2006.0999755859375
2,94,1920,2,2,1,2006.0999755859375
2,94,1925,2,2,1,2006.0999755859375
2,94,1930,2,2,1,2006.0999755859375
2,94,1935,2,2,1,2006.0999755859375
2,94,1940,2,2,1,2006.0999755859375
2,94,1950,9,9,1,2006.0999755859375
2,94,1955,9,9,1,2006.0999755859375
2,94,1960,9,9,1,2006.0999755859375
2,94,1965,9,9,1,2006.0999755859375
2,94,1970,3,3,1,2006.0999755859375
2,94,1975,3,3,1,2006.0999755859375
2,94,1980,3,3,1,2006.0999755859375
2,94,1985,3,3,1,2006.0999755859375
2,94,1990,3,3,1,2006.0999755859375
2,94,1995,3,3,1,2006.0999755859375
2,94,2000,3,3,1,2006.0999755859375
2,94,2005,3,1,1,2006.0999755859375
2,95,1920,1,2,1,2006.0999755859375
2,95,1925,2,2,1,2006.0999755859375
2,95,1930,2,2,1,2006.0999755859375
2,95,1935,0,2,1,2006.0999755859375
2,95,1940,3,3,1,2006.0999755859375
2,95,1950,9,9,1,2006.0999755859375
2,95,1955,9,9,1,2006.0999755859375
2,95,1960,9,9,1,2006.0999755859375
2,95,1965,9,9,1,2006.0999755859375
2,95,1970,3,3,1,2006.0999755859375
2,95,1975,3,3,1,2006.0999755859375
2,95,1980,3,3,1,2006.0999755859375
2,95,1985,3,3,1,2006.0999755859375
2,95,1990,3,3,1,2006.0999755859375
2,95,1995,3,3,1,2006.0999755859375
2,95,2000,3,3,1,2006.0999755859375
2,95,2005,3,3,1,2006.0999755859375
2,100,1832,9,0,0,2006.0999755859375
2,100,1836,1,0,1,2006.0999755859375
2,100,1840,1,1,1,2006.0999755859375
2,100,1844,1,1,1,2006.0999755859375
2,100,1849,1,1,1,2006.0999755859375
2,100,1854,2,1,1,2006.0999755859375
2,100,1859,2,0,1,2006.0999755859375
2,100,1864,2,2,1,2006.0999755859375
2,100,1869,2,2,1,2006.0999755859375
2,100,1874,2,2,1,2006.0999755859375
2,100,1879,0,2,1,2006.0999755859375
2,100,1884,0,2,1,2006.0999755859375
2,100,1889,0,2,1,2006.0999755859375
2,100,1894,2,2,1,2006.0999755859375
2,100,1899,2,2,1,2006.0999755859375
2,100,1904,2,2,1,2006.0999755859375
2,100,1909,2,2,1,2006.0999755859375
2,100,1914,2,2,1,2006.0999755859375
2,100,1920,2,2,1,2006.0999755859375
2,100,1925,2,2,1,2006.0999755859375
2,100,1930,2,2,1,2006.0999755859375
2,100,1935,2,2,1,2006.0999755859375
2,100,1940,3,3,1,2006.0999755859375
2,100,1950,9,9,1,2006.0999755859375
2,100,1955,9,9,1,2006.0999755859375
2,100,1960,9,9,1,2006.0999755859375
2,100,1965,9,9,1,2006.0999755859375
2,100,1970,1,3,1,2006.0999755859375
2,100,1975,1,3,1,2006.0999755859375
2,100,1980,3,3,1,2006.0999755859375
2,100,1985,3,3,1,2006.0999755859375
2,100,1990,3,3,1,2006.0999755859375
2,100,1995,3,3,1,2006.0999755859375
2,100,2000,3,3,1,2006.0999755859375
2,100,2005,3,3,1,2006.0999755859375
2,101,1844,0,1,1,2006.0999755859375
2,101,1849,2,1,1,2006.0999755859375
2,101,1854,2,1,1,2006.0999755859375
2,101,1859,1,2,1,2006.0999755859375
2,101,1864,0,2,1,2006.0999755859375
2,101,1869,2,2,1,2006.0999755859375
2,101,1874,0,2,1,2006.0999755859375
2,101,1879,2,2,1,2006.0999755859375
2,101,1884,2,2,1,2006.0999755859375
2,101,1889,1,2,1,2006.0999755859375
2,101,1894,2,2,1,2006.0999755859375
2,101,1899,2,2,1,2006.0999755859375
2,101,1904,2,0,1,2006.0999755859375
2,101,1909,1,2,1,2006.0999755859375
2,101,1914,2,2,1,2006.0999755859375
2,101,1920,2,2,1,2006.0999755859375
2,101,1925,2,2,1,2006.0999755859375
2,101,1930,2,2,1,2006.0999755859375
2,101,1935,2,2,1,2006.0999755859375
2,101,1940,3,3,1,2006.0999755859375
2,101,1950,9,9,1,2006.0999755859375
2,101,1955,9,9,1,2006.0999755859375
2,101,1960,9,9,1,2006.0999755859375
2,101,1965,9,9,1,2006.0999755859375
2,101,1970,3,3,1,2006.0999755859375
2,101,1975,3,3,1,2006.0999755859375
2,101,1980,3,3,1,2006.0999755859375
2,101,1985,3,3,1,2006.0999755859375
2,101,1990,3,3,1,2006.0999755859375
2,101,1995,3,3,1,2006.0999755859375
2,101,2000,3,3,1,2006.0999755859375
2,101,2005,3,3,1,2006.0999755859375
2,110,1970,3,3,1,2006.0999755859375
2,110,1975,3,3,1,2006.0999755859375
2,110,1980,3,3,1,2006.0999755859375
2,110,1985,3,3,1,2006.0999755859375
2,110,1990,3,3,1,2006.0999755859375
2,110,1995,3,3,1,2006.0999755859375
2,110,2000,3,3,1,2006.0999755859375
2,110,2005,3,3,1,2006.0999755859375
2,115,1975,0,0,0,2006.0999755859375
2,115,1980,1,3,1,2006.0999755859375
2,115,1985,3,3,1,2006.0999755859375
2,115,1990,3,3,1,2006.0999755859375
2,115,1995,3,3,1,2006.0999755859375
2,115,2000,3,3,1,2006.0999755859375
2,115,2005,3,3,1,2006.0999755859375
2,130,1854,0,1,1,2006.0999755859375
2,130,1859,0,2,1,2006.0999755859375
2,130,1864,0,2,1,2006.0999755859375
2,130,1869,0,2,1,2006.0999755859375
2,130,1874,2,2,1,2006.0999755859375
2,130,1879,0,2,1,2006.0999755859375
2,130,1884,0,0,0,2006.0999755859375
2,130,1889,2,0,1,2006.0999755859375
2,130,1894,0,2,1,2006.0999755859375
2,130,1899,2,2,1,2006.0999755859375
2,130,1904,2,2,1,2006.0999755859375
2,130,1909,2,2,1,2006.0999755859375
2,130,1914,2,2,1,2006.0999755859375
2,130,1920,2,2,1,2006.0999755859375
2,130,1925,2,2,1,2006.0999755859375
2,130,1930,2,2,1,2006.0999755859375
2,130,1935,2,2,1,2006.0999755859375
2,130,1940,2,2,1,2006.0999755859375
2,130,1950,9,9,1,2006.0999755859375
2,130,1955,9,9,1,2006.0999755859375
2,130,1960,9,9,1,2006.0999755859375
2,130,1965,9,9,1,2006.0999755859375
2,130,1970,3,3,1,2006.0999755859375
2,130,1975,3,3,1,2006.0999755859375
2,130,1980,3,3,1,2006.0999755859375
2,130,1985,3,3,1,2006.0999755859375
2,130,1990,3,3,1,2006.0999755859375
2,130,1995,3,3,1,2006.0999755859375
2,130,2000,3,3,1,2006.0999755859375
2,130,2005,1,3,1,2006.0999755859375
2,135,1840,0,1,1,2006.0999755859375
2,135,1844,0,0,0,2006.0999755859375
2,135,1849,2,1,1,2006.0999755859375
2,135,1854,2,1,1,2006.0999755859375
2,135,1859,2,2,1,2006.0999755859375
2,135,1864,2,2,1,2006.0999755859375
2,135,1869,1,2,1,2006.0999755859375
2,135,1874,2,2,1,2006.0999755859375
2,135,1879,2,2,1,2006.0999755859375
2,135,1884,2,2,1,2006.0999755859375
2,135,1889,0,2,1,2006.0999755859375
2,135,1894,2,2,1,2006.0999755859375
2,135,1899,2,2,1,2006.0999755859375
2,135,1904,2,2,1,2006.0999755859375
2,135,1909,2,2,1,2006.0999755859375
2,135,1914,2,0,1,2006.0999755859375
2,135,1920,3,3,1,2006.0999755859375
2,135,1925,3,3,1,2006.0999755859375
2,135,1930,3,2,1,2006.0999755859375
2,135,1935,3,3,1,2006.0999755859375
2,135,1940,3,3,1,2006.0999755859375
2,135,1950,9,9,1,2006.0999755859375
2,135,1955,9,9,1,2006.0999755859375
2,135,1960,9,9,1,2006.0999755859375
2,135,1965,9,9,1,2006.0999755859375
2,135,1970,3,3,1,2006.0999755859375
2,135,1975,3,3,1,2006.0999755859375
2,135,1980,3,3,1,2006.0999755859375
2,135,1985,3,3,1,2006.0999755859375
2,135,1990,1,3,1,2006.0999755859375
2,135,1995,3,3,1,2006.0999755859375
2,135,2000,3,3,1,2006.0999755859375
2,135,2005,3,3,1,2006.0999755859375
2,140,1827,1,1,1,2006.0999755859375
2,140,1832,1,1,1,2006.0999755859375
2,140,1836,2,1,1,2006.0999755859375
2,140,1840,2,1,1,2006.0999755859375
2,140,1844,2,2,1,2006.0999755859375
2,140,1849,1,2,1,2006.0999755859375
2,140,1854,2,2,1,2006.0999755859375
2,140,1859,2,2,1,2006.0999755859375
2,140,1864,2,2,1,2006.0999755859375
2,140,1869,2,2,1,2006.0999755859375
2,140,1874,2,0,1,2006.0999755859375
2,140,1879,2,2,1,2006.0999755859375
2,140,1884,2,2,1,2006.0999755859375
2,140,1889,2,2,1,2006.0999755859375
2,140,1894,2,2,1,2006.0999755859375
2,140,1899,2,2,1,2006.0999755859375
2,140,1904,2,2,1,2006.0999755859375
2,140,1909,2,3,1,2006.0999755859375
2,140,1914,3,3,1,2006.0999755859375
2,140,1920,3,3,1,2006.0999755859375
2,140,1925,3,3,1,2006.0999755859375
2,140,1930,3,3,1,2006.0999755859375
2,140,1935,3,3,1,2006.0999755859375
2,140,1940,3,3,1,2006.0999755859375
2,140,1950,9,9,1,2006.0999755859375
2,140,1955,9,9,1,2006.0999755859375
2,140,1960,9,9,1,2006.0999755859375
2,140,1965,9,9,1,2006.0999755859375
2,140,1970,3,3,1,2006.0999755859375
2,140,1975,3,3,1,2006.0999755859375
2,140,1980,3,3,1,2006.0999755859375
2,140,1985,3,3,1,2006.0999755859375
2,140,1990,3,3,1,2006.0999755859375
2,140,1995,3,3,1,2006.0999755859375
2,140,2000,3,3,1,2006.0999755859375
2,140,2005,3,3,1,2006.0999755859375
2,145,1849,0,1,1,2006.0999755859375
2,145,1854,0,1,1,2006.0999755859375
2,145,1859,0,1,1,2006.0999755859375
2,145,1864,0,2,1,2006.0999755859375
2,145,1869,0,2,1,2006.0999755859375
2,145,1874,0,2,1,2006.0999755859375
2,145,1879,0,2,1,2006.0999755859375
2,145,1884,2,2,1,2006.0999755859375
2,145,1889,2,2,1,2006.0999755859375
2,145,1894,0,2,1,2006.0999755859375
2,145,1899,2,2,1,2006.0999755859375
2,145,1904,2,2,1,2006.0999755859375
2,145,1909,2,2,1,2006.0999755859375
2,145,1914,2,2,1,2006.0999755859375
2,145,1920,2,2,1,2006.0999755859375
2,145,1925,2,2,1,2006.0999755859375
2,145,1930,2,2,1,2006.0999755859375
2,145,1935,2,2,1,2006.0999755859375
2,145,1940,2,2,1,2006.0999755859375
2,145,1950,9,0,1,2006.0999755859375
2,145,1955,9,9,1,2006.0999755859375
2,145,1960,9,9,1,2006.0999755859375
2,145,1965,9,9,1,2006.0999755859375
2,145,1970,3,3,1,2006.0999755859375
2,145,1975,3,3,1,2006.0999755859375
2,145,1980,3,3,1,2006.0999755859375
2,145,1985,3,3,1,2006.0999755859375
2,145,1990,3,3,1,2006.0999755859375
2,145,1995,3,3,1,2006.0999755859375
2,145,2000,1,3,1,2006.0999755859375
2,145,2005,3,3,1,2006.0999755859375
